Name,SamAccountName,UserPrincipalName,GivenName,Surname,EmailAddress,ChangePasswordAtLogon
srobles,srobles,srobles@landonhotel.com,Sanai,Robles,srobles@landonhotel.com,1
ichen,ichen,ichen@landonhotel.com,Iyana,Chen,ichen@landonhotel.com,1
dpace,dpace,dpace@landonhotel.com,Dominick,Pace,dpace@landonhotel.com,1
mconley,mconley,mconley@landonhotel.com,Maximo,Conley,mconley@landonhotel.com,1
rpotts,rpotts,rpotts@landonhotel.com,Rebecca,Potts,rpotts@landonhotel.com,1
sboyd,sboyd,sboyd@landonhotel.com,Shamar,Boyd,sboyd@landonhotel.com,1
dpruitt,dpruitt,dpruitt@landonhotel.com,Donavan,Pruitt,dpruitt@landonhotel.com,1
wshepherd,wshepherd,wshepherd@landonhotel.com,William,Shepherd,wshepherd@landonhotel.com,1
adawson,adawson,adawson@landonhotel.com,Adison,Dawson,adawson@landonhotel.com,1
aburton,aburton,aburton@landonhotel.com,Alissa,Burton,aburton@landonhotel.com,1
jblair,jblair,jblair@landonhotel.com,Jovanny,Blair,jblair@landonhotel.com,1
gbuchanan,gbuchanan,gbuchanan@landonhotel.com,Georgia,Buchanan,gbuchanan@landonhotel.com,1
scastaneda,scastaneda,scastaneda@landonhotel.com,Shayna,Castaneda,scastaneda@landonhotel.com,1
dprice,dprice,dprice@landonhotel.com,Dillon,Price,dprice@landonhotel.com,1
fpatel,fpatel,fpatel@landonhotel.com,Fabian,Patel,fpatel@landonhotel.com,1
