Name,SamAccountName,UserPrincipalName,GivenName,Surname,EmailAddress,ChangePasswordAtLogon
bpodgorski,bpodgorski,bpodgorski@landonhotel.com,Basil,Podgorski,bpodgorski@landonhotel.com,1
baihara,baihara,baihara@landonhotel.com,Blair,Aihara,baihara@landonhotel.com,1
mswanton,mswanton,mswanton@landonhotel.com,Mary,Swanton,mswanton@landonhotel.com,1
scavallon,scavallon,scavallon@landonhotel.com,Simon,Cavallon,scavallon@landonhotel.com,1
cshalhope,cshalhope,cshalhope@landonhotel.com,Cole,Shalhope,cshalhope@landonhotel.com,1
rdonerson,rdonerson,rdonerson@landonhotel.com,Rica,Donerson,rdonerson@landonhotel.com,1
amattioli,amattioli,amattioli@landonhotel.com,Allyn,Mattioli,amattioli@landonhotel.com,1
mbright,mbright,mbright@landonhotel.com,Mylee,Bright,mbright@landonhotel.com,1
ipennington,ipennington,ipennington@landonhotel.com,Isis,Pennington,ipennington@landonhotel.com,1
dmccoy,dmccoy,dmccoy@landonhotel.com,Dustin,Mccoy,dmccoy@landonhotel.com,1
