Name,SamAccountName,UserPrincipalName,GivenName,Surname,EmailAddress,ChangePasswordAtLogon
gkishlansky,gkishlansky,gkishlansky@landonhotel.com,Giavani,Kishlansky,gkishlansky@landonhotel.com,1
jzakher,jzakher,jzakher@landonhotel.com,Jeanna,Zakher,jzakher@landonhotel.com,1
nabdollah,nabdollah,nabdollah@landonhotel.com,Northrop,Abdollah,nabdollah@landonhotel.com,1
ppodgorski,ppodgorski,ppodgorski@landonhotel.com,Perrine,Podgorski,ppodgorski@landonhotel.com,1
jcreasey,jcreasey,jcreasey@landonhotel.com,Jory,Creasey,jcreasey@landonhotel.com,1
ldyer,ldyer,ldyer@landonhotel.com,Linda,Dyer,ldyer@landonhotel.com,1
fchirban,fchirban,fchirban@landonhotel.com,Farlay,Chirban,fchirban@landonhotel.com,1
raihara,raihara,raihara@landonhotel.com,Roslyn,Aihara,raihara@landonhotel.com,1
ncuppari,ncuppari,ncuppari@landonhotel.com,Nicholas,Cuppari,ncuppari@landonhotel.com,1
fkiskaddon,fkiskaddon,fkiskaddon@landonhotel.com,Fifine,Kiskaddon,fkiskaddon@landonhotel.com,1
nstrain,nstrain,nstrain@landonhotel.com,Nolan,Strain,nstrain@landonhotel.com,1
mfattorini,mfattorini,mfattorini@landonhotel.com,Maura,Fattorini,mfattorini@landonhotel.com,1
ksoares,ksoares,ksoares@landonhotel.com,Kory,Soares,ksoares@landonhotel.com,1
ihosono,ihosono,ihosono@landonhotel.com,Ilsa,Hosono,ihosono@landonhotel.com,1
lcavallon,lcavallon,lcavallon@landonhotel.com,Lilla,Cavallon,lcavallon@landonhotel.com,1
gfurey,gfurey,gfurey@landonhotel.com,Guntar,Furey,gfurey@landonhotel.com,1
sshoward,sshoward,sshoward@landonhotel.com,Susi,Showard,sshoward@landonhotel.com,1
cmarzaroli,cmarzaroli,cmarzaroli@landonhotel.com,Cirstoforo,Marzaroli,cmarzaroli@landonhotel.com,1
tshalhope,tshalhope,tshalhope@landonhotel.com,Timmie,Shalhope,tshalhope@landonhotel.com,1
vrea,vrea,vrea@landonhotel.com,Vince,Rea,vrea@landonhotel.com,1
panfinrud,panfinrud,panfinrud@landonhotel.com,Priscella,Anfinrud,panfinrud@landonhotel.com,1
bfortini,bfortini,bfortini@landonhotel.com,Boone,Fortini,bfortini@landonhotel.com,1
hmattioli,hmattioli,hmattioli@landonhotel.com,Harriett,Mattioli,hmattioli@landonhotel.com,1
bmoisson,bmoisson,bmoisson@landonhotel.com,Berk,Moisson,bmoisson@landonhotel.com,1
