Name,SamAccountName,UserPrincipalName,GivenName,Surname,EmailAddress,ChangePasswordAtLogon
sespinoza,sespinoza,sespinoza@landonhotel.com,Spencer,Espinoza,sespinoza@landonhotel.com,1
cmanning,cmanning,cmanning@landonhotel.com,Campbell,Manning,cmanning@landonhotel.com,1
hcox,hcox,hcox@landonhotel.com,Houston,Cox,hcox@landonhotel.com,1
bodonnell,bodonnell,bodonnell@landonhotel.com,Brisa,Odonnell,bodonnell@landonhotel.com,1
nmora,nmora,nmora@landonhotel.com,Naima,Mora,nmora@landonhotel.com,1
arice,arice,arice@landonhotel.com,Azul,Rice,arice@landonhotel.com,1
tbryant,tbryant,tbryant@landonhotel.com,Trenton,Bryant,tbryant@landonhotel.com,1
trich,trich,trich@landonhotel.com,Tania,Rich,trich@landonhotel.com,1
mryan,mryan,mryan@landonhotel.com,Mira,Ryan,mryan@landonhotel.com,1
ewarren,ewarren,ewarren@landonhotel.com,Elena,Warren,ewarren@landonhotel.com,1
jbarrett,jbarrett,jbarrett@landonhotel.com,Jakayla,Barrett,jbarrett@landonhotel.com,1
kpaul,kpaul,kpaul@landonhotel.com,Kyler,Paul,kpaul@landonhotel.com,1
malexander,malexander,malexander@landonhotel.com,Micaela,Alexander,malexander@landonhotel.com,1
tnoble,tnoble,tnoble@landonhotel.com,Tanner,Noble,tnoble@landonhotel.com,1
kraymond,kraymond,kraymond@landonhotel.com,Karter,Raymond,kraymond@landonhotel.com,1
jbeltran,jbeltran,jbeltran@landonhotel.com,Jensen,Beltran,jbeltran@landonhotel.com,1
erowland,erowland,erowland@landonhotel.com,Emanuel,Rowland,erowland@landonhotel.com,1
dreynolds,dreynolds,dreynolds@landonhotel.com,Dawson,Reynolds,dreynolds@landonhotel.com,1
lchung,lchung,lchung@landonhotel.com,Lorelai,Chung,lchung@landonhotel.com,1
rbradley,rbradley,rbradley@landonhotel.com,Roman,Bradley,rbradley@landonhotel.com,1
atucker,atucker,atucker@landonhotel.com,Abigayle,Tucker,atucker@landonhotel.com,1
rboyle,rboyle,rboyle@landonhotel.com,Remington,Boyle,rboyle@landonhotel.com,1
lkrueger,lkrueger,lkrueger@landonhotel.com,Lilly,Krueger,lkrueger@landonhotel.com,1
bhaney,bhaney,bhaney@landonhotel.com,Bernard,Haney,bhaney@landonhotel.com,1
lpeters,lpeters,lpeters@landonhotel.com,Livia,Peters,lpeters@landonhotel.com,1
kmack,kmack,kmack@landonhotel.com,Kaydence,Mack,kmack@landonhotel.com,1
ncannon,ncannon,ncannon@landonhotel.com,Nina,Cannon,ncannon@landonhotel.com,1
kreilly,kreilly,kreilly@landonhotel.com,Kylee,Reilly,kreilly@landonhotel.com,1
tmcguire,tmcguire,tmcguire@landonhotel.com,Theresa,Mcguire,tmcguire@landonhotel.com,1
klang,klang,klang@landonhotel.com,Kael,Lang,klang@landonhotel.com,1
tacevedo,tacevedo,tacevedo@landonhotel.com,Trey,Acevedo,tacevedo@landonhotel.com,1
ecarney,ecarney,ecarney@landonhotel.com,Elliot,Carney,ecarney@landonhotel.com,1
dnelson,dnelson,dnelson@landonhotel.com,Dayanara,Nelson,dnelson@landonhotel.com,1
bpratt,bpratt,bpratt@landonhotel.com,Britney,Pratt,bpratt@landonhotel.com,1
tmorales,tmorales,tmorales@landonhotel.com,Tony,Morales,tmorales@landonhotel.com,1
